n =, 252329328, Lookups =, 252329328
Filter, Size in bytes, Ratio of yes-queries bits per item (average), optimal bits per item (w.r.t. yes-queries), difference of BPI to optimal BPI, ratio of BPI to optimal BPI
Cuckoo-8                          	, 268435456   , 0.0291693   , 8.51064     , 5.0994      , 3.41123     , 1.66895     
Cuckoo-12                         	, 402653184   , 0.00184137  , 12.766      , 9.08501     , 3.68095     , 1.40517     
Cuckoo-16                         	, 536870912   , 0.000114806 , 17.0213     , 13.0885     , 3.93277     , 1.30047     
CuckooStable-8                    	, 268435492   , 0.0291791   , 8.51064     , 5.09892     , 3.41172     , 1.66911     
CuckooStable-12                   	, 402653238   , 0.00183454  , 12.766      , 9.09037     , 3.67559     , 1.40434     
CuckooStable-16                   	, 536870984   , 0.000114454 , 17.0213     , 13.0929     , 3.92833     , 1.30003     
Prefix-Filter [ BBF-Fixed ]       	, 381486528   , 0.00372199  , 12.0949     , 8.06971     , 4.02517     , 1.4988      
Prefix-Filter [ CuckooStable-12 ] 	, 367090328   , 0.0038036   , 11.6385     , 8.03842     , 3.60003     , 1.44785     
Prefix-Filter [ TC-shortcut ]     	, 364336544   , 0.00388875  , 11.5511     , 8.00648     , 3.54467     , 1.44272     
Prefix-Filter [ Impala512 ]       	, 364294048   , 0.00384931  , 11.5498     , 8.02118     , 3.52861     , 1.43991     
BBF-Fixed                         	, 336439104   , 0.00941639  , 10.6667     , 6.73061     , 3.93606     , 1.5848      
SimdBlockFilter                   	, 268435456   , 0.0256345   , 8.51064     , 5.28577     , 3.22487     , 1.6101      
Impala512                         	, 384171456   , 0.00391652  , 12.18       , 7.99621     , 4.18379     , 1.52322     
Lem-BF-8[k=6]                     	, 252329328   , 0.0216074   , 8           , 5.53233     , 2.46767     , 1.44604     
Lem-BF-12[k=8]                    	, 378493992   , 0.00316617  , 12          , 8.30304     , 3.69696     , 1.44525     
Lem-BF-16[k=11]                   	, 504658656   , 0.00045825  , 16          , 11.0916     , 4.90842     , 1.44254     
TC-shortcut                       	, 359827968   , 0.00443424  , 11.4082     , 7.8171      , 3.59111     , 1.45939     
